STUDENTID,AGE,GENDER,HS_TYPE,SCHOLARSHIP,WORK,ACTIVITY,SALARY,TRANSPORT,LIVING
STUDENT1,2,2,3,3,1,2,1,1,1
STUDENT2,2,2,3,3,1,2,1,1,1
STUDENT3,2,2,2,3,2,2,2,4,2
STUDENT4,1,1,1,3,1,2,2,1,2
STUDENT5,2,2,1,3,2,2,3,1,4
STUDENT6,2,2,2,3,2,2,2,1,1
STUDENT7,1,2,2,4,2,2,1,1,3
STUDENT8,1,1,2,3,1,1,2,2,3
STUDENT9,2,1,3,3,2,1,1,1,3
STUDENT10,2,1,2,3,2,2,3,4,2
STUDENT11,1,1,1,3,2,2,3,2,3
STUDENT12,1,1,1,4,1,1,4,2,3
STUDENT13,1,1,1,4,2,2,1,1,1
STUDENT14,2,1,2,5,2,2,1,1,1
STUDENT15,3,2,2,4,1,1,3,4,2
STUDENT16,2,2,2,3,2,2,1,1,2
STUDENT17,1,1,2,5,2,1,1,1,1
STUDENT18,2,2,2,3,2,2,1,1,1
STUDENT19,1,1,2,4,2,2,3,1,1
STUDENT20,1,2,1,3,2,2,2,2,2
STUDENT21,1,2,2,5,1,2,1,4,2
STUDENT22,1,2,2,5,2,2,1,4,2
STUDENT23,2,2,2,3,1,2,1,1,1
STUDENT24,3,2,2,2,1,1,5,1,1
STUDENT25,2,2,2,3,2,2,2,1,1
STUDENT26,2,2,2,3,2,2,1,1,2
STUDENT27,2,2,2,3,2,1,1,1,1
STUDENT28,1,2,1,3,1,2,1,1,1
STUDENT29,3,2,2,3,2,2,1,4,2
STUDENT30,2,2,3,4,2,2,,4,2
STUDENT31,2,2,2,5,1,1,1,1,2
STUDENT32,3,2,2,3,1,2,1,1,2
STUDENT33,2,1,2,3,2,2,2,1,1
STUDENT34,2,1,2,3,1,2,1,1,1
STUDENT35,1,2,1,3,2,2,2,1,1
STUDENT36,1,2,1,4,2,2,3,1,1
STUDENT37,2,2,3,4,1,2,3,1,1
STUDENT38,2,2,2,3,1,1,2,2,3
STUDENT39,2,2,2,5,2,2,1,1,1
STUDENT40,2,1,2,3,2,2,1,1,2
STUDENT41,1,2,1,3,2,2,2,1,1
STUDENT42,3,2,2,3,1,2,2,1,2
STUDENT43,2,2,2,3,2,1,1,4,2
STUDENT44,1,2,2,3,2,2,1,1,1
STUDENT45,2,2,3,3,2,2,1,1,1
STUDENT46,1,2,2,3,2,2,4,1,1
STUDENT47,2,2,2,3,2,2,1,1,1
STUDENT48,2,2,2,3,2,2,1,1,2
STUDENT49,1,2,2,,2,1,1,1,2
STUDENT50,1,2,1,4,2,2,2,4,1
STUDENT51,2,2,2,3,2,2,2,2,1
STUDENT52,2,1,3,3,1,1,1,,1
STUDENT53,2,1,2,3,1,2,2,1,1
STUDENT54,2,1,2,3,2,1,2,1,1
STUDENT55,2,2,2,3,2,2,3,4,2
STUDENT56,3,2,2,3,1,2,4,1,2
STUDENT57,2,2,2,3,2,1,1,1,1
STUDENT58,2,2,2,3,1,1,1,1,1
STUDENT59,3,2,2,3,2,2,3,1,1
STUDENT60,2,2,2,3,2,1,1,1,1
STUDENT61,2,1,2,3,2,2,5,2,1
STUDENT62,1,2,3,3,2,1,2,1,2
STUDENT63,2,2,2,3,2,2,1,4,2
STUDENT64,2,2,2,4,2,2,2,1,1
STUDENT65,2,2,3,5,,2,1,1,1
STUDENT66,1,2,2,3,2,2,3,1,1
STUDENT67,2,2,2,3,2,2,,1,1
STUDENT68,2,2,3,3,1,1,3,1,2
STUDENT69,2,1,2,4,1,2,1,1,1
STUDENT70,2,1,2,4,2,2,1,1,1
STUDENT71,1,2,2,4,2,1,1,1,1
STUDENT72,1,1,3,4,2,2,1,1,3
STUDENT73,1,2,2,3,2,1,1,1,2
STUDENT74,2,2,2,4,2,2,1,1,2
STUDENT75,1,2,2,4,2,2,1,1,1
STUDENT76,1,2,2,4,2,1,1,1,3
STUDENT77,2,2,1,2,2,1,2,1,1
STUDENT78,1,2,1,2,2,2,2,2,2
STUDENT79,2,1,2,,1,1,1,1,1
STUDENT80,2,2,2,4,2,2,1,1,1
STUDENT82,3,2,2,3,1,2,1,1,2
STUDENT83,2,2,2,4,1,2,2,1,1
STUDENT84,2,2,3,3,2,2,3,1,1
STUDENT85,3,2,3,3,1,2,3,1,2
STUDENT86,1,2,2,5,2,2,2,1,1
STUDENT87,2,2,2,4,2,2,1,4,2
STUDENT88,2,2,2,3,2,1,2,1,1
STUDENT89,1,2,2,4,2,1,1,1,1
STUDENT90,2,2,2,3,2,2,1,1,1
STUDENT91,2,1,2,3,2,1,1,2,3
STUDENT92,2,2,2,5,1,1,1,1,2
STUDENT93,1,2,2,,,2,1,,
STUDENT94,1,2,2,1,1,2,1,1,2
STUDENT95,2,2,2,3,2,2,1,1,1
STUDENT96,1,2,3,5,1,1,1,2,3
STUDENT97,1,2,2,4,2,1,1,2,3
STUDENT98,1,2,2,4,1,2,1,1,3
STUDENT99,1,2,2,4,2,1,1,4,2
STUDENT100,2,2,2,3,2,2,1,4,2
STUDENT101,1,2,2,4,2,2,1,2,3
STUDENT102,1,2,2,4,2,2,2,1,3
STUDENT103,1,2,2,3,2,2,1,1,2
STUDENT104,1,2,1,4,2,2,5,1,2
STUDENT105,1,1,2,3,2,2,1,2,2
STUDENT106,1,2,2,4,1,1,1,1,1
STUDENT107,1,2,2,4,2,1,1,1,2
STUDENT108,1,1,2,4,1,1,1,1,3
STUDENT109,2,1,1,5,2,1,2,2,1
STUDENT110,1,2,1,3,2,1,1,2,2
STUDENT111,2,2,2,3,2,2,2,4,2
STUDENT112,1,1,1,5,2,1,1,1,2
STUDENT113,2,1,3,3,1,2,1,3,3
STUDENT114,2,1,3,3,,2,1,4,2
STUDENT115,2,1,2,5,1,1,4,1,1
STUDENT116,2,1,2,5,1,2,1,1,1
STUDENT117,2,1,2,5,2,2,1,1,1
STUDENT118,3,1,1,3,2,1,1,1,2
STUDENT119,1,2,2,5,2,1,1,4,2
STUDENT120,2,1,2,4,2,,1,1,2
STUDENT121,2,1,1,3,1,1,2,2,3
STUDENT122,2,1,2,3,1,1,1,2,1
STUDENT123,1,2,2,5,2,1,1,1,1
STUDENT124,2,1,3,3,2,2,3,1,1
STUDENT125,1,1,2,4,1,1,1,,3
STUDENT126,1,1,2,5,1,1,1,1,3
STUDENT127,1,1,1,4,1,1,3,2,3
STUDENT128,1,1,2,4,2,2,1,4,3
STUDENT129,1,1,2,4,2,1,1,4,3
STUDENT130,1,1,2,3,1,1,1,1,1
STUDENT131,1,1,2,3,1,1,,1,
STUDENT132,1,1,1,5,2,1,1,2,2
STUDENT133,1,1,1,5,2,1,1,1,2
STUDENT134,1,1,2,5,2,2,1,1,1
STUDENT135,1,1,2,4,2,1,1,2,3
STUDENT136,2,1,2,3,1,1,1,4,2
STUDENT137,1,1,2,3,1,1,1,2,3
STUDENT138,1,1,1,5,2,1,1,1,1
STUDENT139,1,1,2,4,1,1,5,2,3
STUDENT140,1,1,2,4,1,2,2,2,3
STUDENT141,2,1,2,3,1,1,1,1,2
STUDENT142,1,1,2,4,2,2,1,4,2
STUDENT143,1,1,1,4,2,,1,1,1
STUDENT144,2,1,2,4,,1,5,2,3
STUDENT145,1,1,1,5,2,2,3,1,1
